NEXTFLEX_ID,Nextera_i7,seqlev,hamming
UDI0351,v2_Ad2.31,3,5
UDI0337,v2_Ad2.40,4,6
UDI0315,v2_Ad2.54,6,6
UDI0319,v2_Ad2.13,4,7
UDI0372,v2_Ad2.30,4,5
UDI0319,v2_Ad2.18,4,4
UDI0378,v2_Ad2.53,4,5
UDI0300,v2_Ad2.11,3,3
UDI0370,v2_Ad2.96,3,4
UDI0323,v2_Ad2.50,5,6
UDI0321,v2_Ad2.54,4,7
UDI0314,v2_Ad2.35,5,6
UDI0293,v2_Ad2.87,4,6
UDI0375,v2_Ad2.52,3,3
UDI0292,v2_Ad2.17,5,7
UDI0341,v2_Ad2.80,4,6
UDI0291,v2_Ad2.23,3,6
UDI0306,v2_Ad2.69,5,5
UDI0356,v2_Ad2.66,5,6
UDI0336,v2_Ad2.28,5,8
UDI0336,v2_Ad2.54,5,7
UDI0296,v2_Ad2.52,5,7
UDI0367,v2_Ad2.44,4,6
UDI0375,v2_Ad2.56,4,7
UDI0302,v2_Ad2.43,4,6
UDI0308,v2_Ad2.3,5,6
UDI0306,v2_Ad2.45,4,7
UDI0370,v2_Ad2.56,3,5
UDI0290,v2_Ad2.72,5,6
UDI0359,v2_Ad2.19,5,5
UDI0347,v2_Ad2.74,4,6
UDI0303,v2_Ad2.89,4,8
UDI0370,v2_Ad2.32,3,8
UDI0335,v2_Ad2.96,4,7
UDI0329,v2_Ad2.71,4,7
UDI0339,v2_Ad2.74,3,7
UDI0295,v2_Ad2.33,4,8
UDI0291,v2_Ad2.30,4,4
UDI0324,v2_Ad2.54,4,7
UDI0333,v2_Ad2.52,4,4
UDI0314,v2_Ad2.71,4,8
UDI0330,v2_Ad2.46,4,7
UDI0366,v2_Ad2.8,4,5
UDI0306,v2_Ad2.80,5,6
UDI0327,v2_Ad2.65,5,5
UDI0360,v2_Ad2.1,5,8
UDI0343,v2_Ad2.28,4,6
UDI0302,v2_Ad2.8,4,4
UDI0289,v2_Ad2.42,5,7
UDI0373,v2_Ad2.55,5,8
UDI0347,v2_Ad2.73,5,6
UDI0342,v2_Ad2.29,5,7
UDI0310,v2_Ad2.56,5,6
UDI0356,v2_Ad2.27,4,6
UDI0368,v2_Ad2.1,3,4
UDI0316,v2_Ad2.33,4,7
UDI0301,v2_Ad2.32,3,4
UDI0372,v2_Ad2.62,2,5
UDI0320,v2_Ad2.19,4,8
UDI0348,v2_Ad2.38,5,7
UDI0318,v2_Ad2.87,5,7
UDI0355,v2_Ad2.25,4,5
UDI0354,v2_Ad2.20,4,4
UDI0365,v2_Ad2.90,4,6
UDI0351,v2_Ad2.82,4,6
UDI0294,v2_Ad2.33,3,8
UDI0327,v2_Ad2.83,4,6
UDI0353,v2_Ad2.71,3,6
UDI0305,v2_Ad2.2,5,6
UDI0367,v2_Ad2.35,5,6
UDI0377,v2_Ad2.80,4,6
UDI0316,v2_Ad2.23,4,8
UDI0384,v2_Ad2.47,5,8
UDI0371,v2_Ad2.70,5,8
UDI0366,v2_Ad2.94,4,5
UDI0305,v2_Ad2.87,5,7
UDI0374,v2_Ad2.16,5,8
UDI0301,v2_Ad2.26,4,8
UDI0315,v2_Ad2.66,5,6
UDI0324,v2_Ad2.33,4,4
UDI0351,v2_Ad2.60,4,6
UDI0367,v2_Ad2.85,3,5
UDI0305,v2_Ad2.19,4,8
UDI0377,v2_Ad2.58,5,6
UDI0380,v2_Ad2.74,4,6
UDI0329,v2_Ad2.33,4,6
UDI0373,v2_Ad2.48,4,6
UDI0348,v2_Ad2.73,5,7
UDI0360,v2_Ad2.57,5,6
UDI0291,v2_Ad2.54,5,5
UDI0380,v2_Ad2.69,5,6
UDI0322,v2_Ad2.20,5,5
UDI0372,v2_Ad2.27,5,7
UDI0327,v2_Ad2.66,5,6
UDI0314,v2_Ad2.67,3,5
UDI0289,v2_Ad2.14,6,7
UDI0349,v2_Ad2.2,4,8
UDI0293,v2_Ad2.36,4,5
UDI0318,v2_Ad2.61,4,4
UDI0293,v2_Ad2.45,3,7
UDI0335,v2_Ad2.15,4,5
UDI0302,v2_Ad2.68,4,5
UDI0382,v2_Ad2.93,5,7
UDI0361,v2_Ad2.93,6,7
UDI0320,v2_Ad2.12,5,6
UDI0307,v2_Ad2.89,4,7
UDI0314,v2_Ad2.16,6,7
UDI0376,v2_Ad2.37,5,7
UDI0294,v2_Ad2.91,4,6
UDI0315,v2_Ad2.56,4,6
UDI0347,v2_Ad2.7,5,5
UDI0295,v2_Ad2.34,3,7
UDI0369,v2_Ad2.57,4,5
UDI0329,v2_Ad2.53,4,6
UDI0295,v2_Ad2.41,4,6
UDI0320,v2_Ad2.53,3,3
UDI0371,v2_Ad2.79,5,6
UDI0325,v2_Ad2.4,5,6
UDI0317,v2_Ad2.74,4,6
UDI0332,v2_Ad2.61,4,6
UDI0290,v2_Ad2.12,2,6
UDI0300,v2_Ad2.79,4,5
UDI0326,v2_Ad2.33,4,7
UDI0300,v2_Ad2.52,4,6
UDI0303,v2_Ad2.27,4,5
UDI0343,v2_Ad2.43,4,8
UDI0358,v2_Ad2.30,5,7
UDI0320,v2_Ad2.79,5,6
UDI0327,v2_Ad2.87,4,5
UDI0344,v2_Ad2.39,4,6
UDI0299,v2_Ad2.67,5,7
UDI0361,v2_Ad2.37,4,6
UDI0327,v2_Ad2.39,5,7
UDI0348,v2_Ad2.36,3,3
UDI0327,v2_Ad2.78,5,8
UDI0383,v2_Ad2.12,4,6
UDI0362,v2_Ad2.35,5,6
UDI0316,v2_Ad2.11,4,4
UDI0299,v2_Ad2.42,4,6
UDI0308,v2_Ad2.35,5,7
UDI0292,v2_Ad2.25,6,7
UDI0321,v2_Ad2.87,5,7
UDI0340,v2_Ad2.83,4,7
UDI0302,v2_Ad2.75,4,8
UDI0302,v2_Ad2.53,5,7
UDI0349,v2_Ad2.56,5,6
UDI0376,v2_Ad2.43,5,6
UDI0304,v2_Ad2.10,5,7
UDI0310,v2_Ad2.76,3,4
UDI0305,v2_Ad2.96,4,4
UDI0297,v2_Ad2.29,5,8
UDI0334,v2_Ad2.14,5,7
UDI0330,v2_Ad2.74,5,6
UDI0310,v2_Ad2.82,4,4
UDI0310,v2_Ad2.88,4,6
UDI0290,v2_Ad2.30,4,7
UDI0306,v2_Ad2.52,5,5
UDI0329,v2_Ad2.28,4,4
UDI0378,v2_Ad2.84,5,6
UDI0301,v2_Ad2.89,4,7
UDI0316,v2_Ad2.16,5,6
UDI0326,v2_Ad2.21,4,8
UDI0332,v2_Ad2.39,5,8
UDI0381,v2_Ad2.58,4,4
UDI0374,v2_Ad2.80,4,6
UDI0313,v2_Ad2.84,3,7
UDI0291,v2_Ad2.5,4,4
UDI0347,v2_Ad2.87,5,6
UDI0370,v2_Ad2.19,3,6
UDI0363,v2_Ad2.19,4,7
UDI0322,v2_Ad2.91,4,8
UDI0367,v2_Ad2.22,3,5
UDI0310,v2_Ad2.53,2,6
UDI0320,v2_Ad2.4,4,6
UDI0289,v2_Ad2.96,4,7
UDI0291,v2_Ad2.82,4,6
UDI0314,v2_Ad2.54,3,7
UDI0357,v2_Ad2.81,4,5
UDI0326,v2_Ad2.36,4,7
UDI0314,v2_Ad2.4,4,6
UDI0332,v2_Ad2.12,4,4
UDI0329,v2_Ad2.38,4,6
UDI0325,v2_Ad2.79,4,7
UDI0315,v2_Ad2.13,5,7
UDI0291,v2_Ad2.58,4,7
UDI0336,v2_Ad2.5,4,5
UDI0297,v2_Ad2.94,4,6
UDI0296,v2_Ad2.81,5,6
UDI0289,v2_Ad2.21,6,7
UDI0383,v2_Ad2.80,5,6
UDI0328,v2_Ad2.34,4,7
UDI0299,v2_Ad2.30,4,5
UDI0313,v2_Ad2.23,3,6
UDI0382,v2_Ad2.61,5,6
UDI0377,v2_Ad2.18,4,5
UDI0361,v2_Ad2.8,4,7
UDI0315,v2_Ad2.45,3,6
UDI0368,v2_Ad2.21,5,7
UDI0371,v2_Ad2.94,3,7
UDI0294,v2_Ad2.88,4,5
UDI0348,v2_Ad2.52,4,6
UDI0359,v2_Ad2.18,5,7
UDI0372,v2_Ad2.20,5,7
UDI0380,v2_Ad2.23,4,7
UDI0350,v2_Ad2.38,5,6
UDI0327,v2_Ad2.51,4,6
UDI0329,v2_Ad2.79,3,4
UDI0382,v2_Ad2.64,5,7
UDI0295,v2_Ad2.64,5,6
UDI0312,v2_Ad2.7,5,5
UDI0372,v2_Ad2.95,4,5
UDI0357,v2_Ad2.72,4,8
UDI0299,v2_Ad2.66,5,7
UDI0297,v2_Ad2.8,5,6
UDI0364,v2_Ad2.88,4,8
UDI0336,v2_Ad2.42,6,6
UDI0367,v2_Ad2.62,4,7
UDI0297,v2_Ad2.33,4,7
UDI0344,v2_Ad2.86,5,7
UDI0316,v2_Ad2.55,4,6
UDI0303,v2_Ad2.93,7,8
UDI0299,v2_Ad2.91,4,4
UDI0366,v2_Ad2.80,3,7
UDI0372,v2_Ad2.56,4,5
UDI0366,v2_Ad2.20,4,7
UDI0350,v2_Ad2.65,6,6
UDI0326,v2_Ad2.32,4,6
UDI0344,v2_Ad2.56,5,6
UDI0298,v2_Ad2.60,3,3
UDI0366,v2_Ad2.23,4,6
UDI0338,v2_Ad2.19,4,4
UDI0330,v2_Ad2.16,4,5
UDI0355,v2_Ad2.65,4,7
UDI0326,v2_Ad2.48,4,7
UDI0296,v2_Ad2.72,4,7
UDI0303,v2_Ad2.38,4,7
UDI0301,v2_Ad2.23,4,6
UDI0383,v2_Ad2.87,5,7
UDI0329,v2_Ad2.18,3,6
